,city_number,resources_remaining,severity,resources_allocated,resources_effectively_allocated,damage
289,2.0,34.3765869140625,4.0,6.050140380859375,6.050140380859375,0.0
290,3.0,28.326446533203125,3.0,5.668327808380127,5.668327808380127,0.0
291,4.0,22.658119201660156,6.0,8.732492446899414,8.732492446899414,1.9605050086975098
292,5.0,13.925626754760742,5.0,8.181923866271973,8.181923866271973,4.687735557556152
293,6.0,5.7437028884887695,3.0,6.089818954467773,5.7437028884887695,7.138995170593262
294,1.0,40.0,5.0,7.037289619445801,7.037289619445801,0.0
295,2.0,32.962711334228516,7.0,9.080835342407227,9.080835342407227,0.0
296,3.0,23.88187599182129,4.0,6.701136589050293,6.701136589050293,0.0
297,4.0,17.180740356445312,3.0,5.973268508911133,5.973268508911133,0.016038894653320312
298,5.0,11.20747184753418,4.0,7.162637710571289,7.162637710571289,1.950984001159668
299,6.0,4.044834136962891,8.0,9.175451278686523,4.044834136962891,10.74201774597168
300,1.0,40.0,8.0,9.144861221313477,9.144861221313477,0.45513916015625
301,2.0,30.855138778686523,6.0,8.861820220947266,8.861820220947266,0.5656833648681641
302,3.0,21.993318557739258,8.0,9.17109203338623,9.17109203338623,4.663028717041016
303,4.0,12.822226524353027,7.0,9.162765502929688,9.162765502929688,9.39792251586914
304,5.0,3.65946102142334,4.0,8.509489059448242,3.65946102142334,13.46603012084961
305,1.0,40.0,2.0,5.49739408493042,5.49739408493042,0.0
